VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility
7FCTGAAA9N,Snohomish,Mukilteo,WA,98275,2022,RIVIAN,R1T,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,21,209718225,POINT (-122.29956999999996 47.94187000000005),PUGET SOUND ENERGY INC
JHMZC5F1XJ,Snohomish,Marysville,WA,98271,2018,HONDA,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,38,124085020,POINT (-122.1713847 48.10433),PUGET SOUND ENERGY INC
5YJSA1E11H,Kitsap,Olalla,WA,98359,2017,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,26,339897736,POINT (-122.54482999999999 47.41801000000004),PUGET SOUND ENERGY INC
5YJ3E1EB1J,Snohomish,Mukilteo,WA,98275,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,21,476075274,POINT (-122.29956999999996 47.94187000000005),PUGET SOUND ENERGY INC
1G1RC6S58G,Thurston,Rainier,WA,98576,2016,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,2,477446126,POINT (-122.68987759999999 46.89084920000005),PUGET SOUND ENERGY INC
7SAYGDEF1N,King,Renton,WA,98059,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,11,182562621,POINT (-122.15733999999998 47.487175000000036),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA)
1FADP5CU8D,King,Seattle,WA,98125,2013,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,19,0,46,120162836,POINT (-122.296385 47.71558),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1G1RD6S53H,Thurston,Olympia,WA,98513,2017,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,2,238343479,POINT (-122.81709 46.988575),PUGET SOUND ENERGY INC
KL8CL6S0XE,King,Shoreline,WA,98133,2014,CHEVROLET,SPARK,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,32,224451370,POINT (-122.34583999999995 47.76726000000008),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA)
1N4AZ1CP6J,Thurston,Rochester,WA,98579,2018,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,35,475848852,POINT (-123.09574999999995 46.82114000000007),PUGET SOUND ENERGY INC
5YJSA1E23F,Snohomish,Arlington,WA,98223,2015,TESLA,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,39,302545750,POINT (-122.12324 48.19485),PUGET SOUND ENERGY INC
